suffix;len;count;%count;der;die;das;%der;%die;%das;rev
-ostüm;5;1;0.01;0;0;1;0.00;0.00;100.00;mütso-
-erte;4;1;0.01;1;0;0;100.00;0.00;0.00;etre-
-arte;4;3;0.03;0;3;0;0.00;100.00;0.00;etra-
-rität;5;1;0.01;0;1;0;0.00;100.00;0.00;tätir-
-oldat;5;1;0.01;1;0;0;100.00;0.00;0.00;tadlo-
-tag;3;4;0.05;4;0;0;100.00;0.00;0.00;gat-
-ndler;5;2;0.02;2;0;0;100.00;0.00;0.00;reldn-
-erle;4;2;0.02;0;2;0;0.00;100.00;0.00;elre-
-tient;5;1;0.01;1;0;0;100.00;0.00;0.00;tneit-
-tei;3;1;0.01;0;1;0;0.00;100.00;0.00;iet-
-tum;3;3;0.03;1;0;2;33.33;0.00;66.67;mut-
-tik;3;4;0.05;0;3;1;0.00;75.00;25.00;kit-
-ttoo;4;1;0.01;0;0;1;0.00;0.00;100.00;oott-
-nse;3;1;0.01;0;1;0;0.00;100.00;0.00;esn-
-erde;4;3;0.03;0;3;0;0.00;100.00;0.00;edre-
-til;3;1;0.01;1;0;0;100.00;0.00;0.00;lit-
-tel;3;11;0.13;6;1;4;54.55;9.09;36.36;let-
-gent;4;1;0.01;1;0;0;100.00;0.00;0.00;tneg-
-nke;3;2;0.02;2;0;0;100.00;0.00;0.00;ekn-
-tem;3;2;0.02;1;0;1;50.00;0.00;50.00;met-
-eßen;4;1;0.01;0;0;1;0.00;0.00;100.00;neße-
-riode;5;1;0.01;0;1;0;0.00;100.00;0.00;edoir-
-tur;3;6;0.07;0;6;0;0.00;100.00;0.00;rut-
-nge;3;13;0.15;2;11;0;15.38;84.62;0.00;egn-
-ten;3;15;0.17;6;5;4;40.00;33.33;26.67;net-
-obus;4;1;0.01;1;0;0;100.00;0.00;0.00;subo-
-tus;3;1;0.01;1;0;0;100.00;0.00;0.00;sut-
-auen;4;2;0.02;0;0;2;0.00;0.00;100.00;neua-
-nce;3;1;0.01;0;1;0;0.00;100.00;0.00;ecn-
-izont;5;1;0.01;1;0;0;100.00;0.00;0.00;tnozi-
-nch;3;2;0.02;1;1;0;50.00;50.00;0.00;hcn-
-ktion;5;7;0.08;0;7;0;0.00;100.00;0.00;noitk-
-ter;3;44;0.50;26;10;8;59.09;22.73;18.18;ret-
-genz;4;1;0.01;0;1;0;0.00;100.00;0.00;zneg-
-tar;3;3;0.03;3;0;0;100.00;0.00;0.00;rat-
-ärung;5;1;0.01;0;1;0;0.00;100.00;0.00;gnurä-
-auer;4;4;0.05;1;3;0;25.00;75.00;0.00;reua-
-eriff;5;1;0.01;1;0;0;100.00;0.00;0.00;ffire-
-euer;4;3;0.03;0;1;2;0.00;33.33;66.67;reue-
-omate;5;1;0.01;0;1;0;0.00;100.00;0.00;etamo-
-ilfe;4;1;0.01;0;1;0;0.00;100.00;0.00;efli-
-üll;3;4;0.05;3;0;1;75.00;0.00;25.00;llü-
-ezirk;5;2;0.02;2;0;0;100.00;0.00;0.00;krize-
-tiv;3;1;0.01;1;0;0;100.00;0.00;0.00;vit-
-ühl;3;3;0.03;0;0;3;0.00;0.00;100.00;lhü-
-rfüm;4;1;0.01;0;0;1;0.00;0.00;100.00;müfr-
-huh;3;2;0.02;2;0;0;100.00;0.00;0.00;huh-
-lend;4;1;0.01;0;0;1;0.00;0.00;100.00;dnel-
-exe;3;1;0.01;0;1;0;0.00;100.00;0.00;exe-
-häft;4;4;0.05;0;0;4;0.00;0.00;100.00;tfäh-
-ete;3;4;0.05;1;3;0;25.00;75.00;0.00;ete-
-hef;3;2;0.02;2;0;0;100.00;0.00;0.00;feh-
-chaft;5;8;0.09;1;7;0;12.50;87.50;0.00;tfahc-
-tiz;3;1;0.01;0;1;0;0.00;100.00;0.00;zit-
-haf;3;1;0.01;0;0;1;0.00;0.00;100.00;fah-
-lner;4;1;0.01;1;0;0;100.00;0.00;0.00;renl-
-tner;4;1;0.01;1;0;0;100.00;0.00;0.00;rent-
-nst;3;2;0.02;1;1;0;50.00;50.00;0.00;tsn-
-eld;3;4;0.05;1;0;3;25.00;0.00;75.00;dle-
-ele;3;1;0.01;0;1;0;0.00;100.00;0.00;ele-
-arty;4;1;0.01;0;1;0;0.00;100.00;0.00;ytra-
-ehe;3;1;0.01;0;1;0;0.00;100.00;0.00;ehe-
-ühr;3;1;0.01;0;1;0;0.00;100.00;0.00;rhü-
-nkt;3;3;0.03;3;0;0;100.00;0.00;0.00;tkn-
-nwand;5;1;0.01;0;1;0;0.00;100.00;0.00;dnawn-
-ede;3;1;0.01;0;1;0;0.00;100.00;0.00;ede-
-hek;3;1;0.01;0;1;0;0.00;100.00;0.00;keh-
-rrung;5;1;0.01;0;1;0;0.00;100.00;0.00;gnurr-
-hel;3;2;0.02;1;1;0;50.00;50.00;0.00;leh-
-lenk;4;2;0.02;0;0;2;0.00;0.00;100.00;knel-
-rnung;5;2;0.02;0;2;0;0.00;100.00;0.00;gnunr-
-matik;5;1;0.01;0;1;0;0.00;100.00;0.00;kitam-
-erfen;5;1;0.01;0;1;0;0.00;100.00;0.00;nefre-
-hal;3;1;0.01;1;0;0;100.00;0.00;0.00;lah-
-rache;5;2;0.02;1;1;0;50.00;50.00;0.00;ehcar-
-debar;5;1;0.01;0;1;0;0.00;100.00;0.00;rabed-
-ecke;4;4;0.05;0;4;0;0.00;100.00;0.00;ekce-
-acke;4;1;0.01;0;1;0;0.00;100.00;0.00;ekca-
-tern;4;4;0.05;3;0;1;75.00;0.00;25.00;nret-
-hen;3;22;0.25;4;1;17;18.18;4.55;77.27;neh-
-hip;3;1;0.01;1;0;0;100.00;0.00;0.00;pih-
-ell;3;1;0.01;0;0;1;0.00;0.00;100.00;lle-
-elm;3;1;0.01;1;0;0;100.00;0.00;0.00;mle-
-ehl;3;1;0.01;1;0;0;100.00;0.00;0.00;lhe-
-erfer;5;1;0.01;1;0;0;100.00;0.00;0.00;refre-
-menge;5;1;0.01;0;1;0;0.00;100.00;0.00;egnem-
-nteil;5;1;0.01;1;0;0;100.00;0.00;0.00;lietn-
-eln;3;3;0.03;0;1;2;0.00;33.33;66.67;nle-
-her;3;4;0.05;4;0;0;100.00;0.00;0.00;reh-
-bol;3;1;0.01;0;0;1;0.00;0.00;100.00;lob-
-fwand;5;1;0.01;1;0;0;100.00;0.00;0.00;dnawf-
-ext;3;1;0.01;1;0;0;100.00;0.00;0.00;txe-
-berer;5;1;0.01;1;0;0;100.00;0.00;0.00;rereb-
-lent;4;1;0.01;0;0;1;0.00;0.00;100.00;tnel-
-tent;4;1;0.01;1;0;0;100.00;0.00;0.00;tnet-
-ett;3;5;0.06;0;0;5;0.00;0.00;100.00;tte-
-ept;3;1;0.01;0;0;1;0.00;0.00;100.00;tpe-
-els;3;1;0.01;1;0;0;100.00;0.00;0.00;sle-
-lben;4;1;0.01;1;0;0;100.00;0.00;0.00;nebl-
-rfolg;5;1;0.01;1;0;0;100.00;0.00;0.00;glofr-
-utor;4;1;0.01;1;0;0;100.00;0.00;0.00;rotu-
-ehr;3;3;0.03;1;1;1;33.33;33.33;33.33;rhe-
