suffix;len;count;%count;der;die;das;%der;%die;%das;rev
-rol;3;87;0.00;32;0;55;36.78;0.00;63.22;lor-
-äfekt;5;5;0.00;5;0;0;100.00;0.00;0.00;tkefä-
-höpf;4;3;0.00;0;0;3;0.00;0.00;100.00;fpöh-
-unz;3;1;0.00;0;0;1;0.00;0.00;100.00;znu-
-rom;3;632;0.03;401;0;231;63.45;0.00;36.55;mor-
-guar;4;2;0.00;2;0;0;100.00;0.00;0.00;raug-
-litin;5;3;0.00;0;2;1;0.00;66.67;33.33;nitil-
-opa;3;23;0.00;3;1;19;13.04;4.35;82.61;apo-
-ron;3;260;0.01;58;8;194;22.31;3.08;74.62;nor-
-tross;5;2;0.00;0;0;2;0.00;0.00;100.00;ssort-
-roo;3;6;0.00;2;3;1;33.33;50.00;16.67;oor-
-riard;5;1;0.00;1;0;0;100.00;0.00;0.00;drair-
-masie;5;13;0.00;0;13;0;0.00;100.00;0.00;eisam-
-jalin;5;1;0.00;1;0;0;100.00;0.00;0.00;nilaj-
-nsaxt;5;1;0.00;0;1;0;0.00;100.00;0.00;txasn-
-ndeöl;5;1;0.00;0;0;1;0.00;0.00;100.00;löedn-
-erdom;5;1;0.00;1;0;0;100.00;0.00;0.00;modre-
-trost;5;6;0.00;6;0;0;100.00;0.00;0.00;tsort-
-rop;3;18;0.00;8;2;8;44.44;11.11;44.44;por-
-kopp;4;11;0.00;11;0;0;100.00;0.00;0.00;ppok-
-abuff;5;1;0.00;0;0;1;0.00;0.00;100.00;ffuba-
-lose;4;129;0.01;0;129;0;0.00;100.00;0.00;esol-
-mruf;4;1;0.00;1;0;0;100.00;0.00;0.00;furm-
-ope;3;50;0.00;0;48;2;0.00;96.00;4.00;epo-
-ror;3;16;0.00;15;1;0;93.75;6.25;0.00;ror-
-mutt;4;2;0.00;1;0;1;50.00;0.00;50.00;ttum-
-nover;5;2;0.00;0;0;2;0.00;0.00;100.00;revon-
-litis;5;72;0.00;0;72;0;0.00;100.00;0.00;sitil-
-opf;3;712;0.04;710;2;0;99.72;0.28;0.00;fpo-
-ros;3;76;0.00;59;2;15;77.63;2.63;19.74;sor-
-rauß;4;22;0.00;22;0;0;100.00;0.00;0.00;ßuar-
-redda;5;1;0.00;0;1;0;0.00;100.00;0.00;adder-
-rot;3;235;0.01;21;0;214;8.94;0.00;91.06;tor-
-guay;4;2;0.00;0;0;2;0.00;0.00;100.00;yaug-
-rou;3;1;0.00;1;0;0;100.00;0.00;0.00;uor-
-oph;3;31;0.00;29;0;2;93.55;0.00;6.45;hpo-
-erski;5;1;0.00;1;0;0;100.00;0.00;0.00;iksre-
-opi;3;2;0.00;2;0;0;100.00;0.00;0.00;ipo-
-ßwind;5;1;0.00;1;0;0;100.00;0.00;0.00;dniwß-
-rismo;5;1;0.00;1;0;0;100.00;0.00;0.00;omsir-
-uench;5;1;0.00;1;0;0;100.00;0.00;0.00;hcneu-
-häum;4;1;0.00;0;0;1;0.00;0.00;100.00;muäh-
-sarme;5;1;0.00;0;1;0;0.00;100.00;0.00;emras-
-ksitz;5;2;0.00;2;0;0;100.00;0.00;0.00;ztisk-
-row;3;4;0.00;1;0;3;25.00;0.00;75.00;wor-
-ufbit;5;1;0.00;0;0;1;0.00;0.00;100.00;tibfu-
-eraph;5;1;0.00;1;0;0;100.00;0.00;0.00;hpare-
-erdöl;5;1;0.00;0;0;1;0.00;0.00;100.00;lödre-
